file	sampleNames	dye	barcode
32601042.gpr	HER2.T1.Amp	5	32601042
32600928.gpr	HER2.T1.Not-Amp	5	32600928
32600925.gpr	HER2.T10.Amp	5	32600925
32601040.gpr	HER2.T10.Not-Amp	5	32601040
32600920.gpr	HER2.T11.Amp	5	32600920
32600913.gpr	HER2.T11.Not-Amp	5	32600913
32600520.gpr	HER2.T12.Amp	5	32600520
32600523.gpr	HER2.T12.Not-Amp	5	32600523
32601082.gpr	HER2.T2.Amp	5	32601082
32600927.gpr	HER2.T2.Not-Amp	5	32600927
32600931.gpr	HER2.T3.Amp	5	32600931
32600932.gpr	HER2.T3.Not-Amp	5	32600932
32600933.gpr	HER2.T4.Amp	5	32600933
32600522.gpr	HER2.T4.Not-Amp	5	32600522
32600918.gpr	HER2.T5.Amp	5	32600918
32600921.gpr	HER2.T5.Not-Amp	5	32600921
32600916.gpr	HER2.T6.Amp	5	32600916
32601118.gpr	HER2.T6.Not-Amp	5	32601118
32601108.gpr	HER2.T8.Amp	5	32601108
32601116.gpr	HER2.T8.Not-Amp	5	32601116
32700208.gpr	HER2.T9.Amp	5	32700208
32601115.gpr	HER2.T9.Not-Amp	5	32601115
32700030.gpr	HER2.T13.Not-Amp	5	32700030
32700031.gpr	HER2.T13.Amp	5	32700031
