"ensg"	"chrom"	"start"	"end"	"status"	"cytoband"	"symbol"
"ENSG00000227232"	1	14363	29370	"KNOWN"	"p36.33"	"WASH5P"
"ENSG00000177693"	1	69055	70108	"KNOWN"	"p36.33"	"OR4F5"
"ENSG00000235249"	1	367640	368634	"KNOWN"	"p36.33"	"OR4F29"
"ENSG00000185097"	1	621096	622034	"KNOWN"	"p36.33"	"OR4F16"
"ENSG00000187634"	1	860260	879961	"KNOWN"	"p36.33"	"SAMD11"
"ENSG00000188976"	1	879584	894679	"KNOWN"	"p36.33"	"NOC2L"
"ENSG00000187961"	1	895967	901095	"KNOWN"	"p36.33"	"KLHL17"
"ENSG00000187583"	1	901877	910476	"KNOWN"	"p36.33"	"PLEKHN1"
"ENSG00000187642"	1	910584	917497	"KNOWN"	"p36.33"	"C1orf170"
"ENSG00000188290"	1	934342	935552	"KNOWN"	"p36.33"	"HES4"
"ENSG00000187608"	1	948847	949915	"KNOWN"	"p36.33"	"ISG15"
"ENSG00000188157"	1	955503	991496	"KNOWN"	"p36.33"	"AGRN"
"ENSG00000131591"	1	1017198	1051736	"KNOWN"	"p36.33"	"C1orf159"
"ENSG00000162571"	1	1109283	1133315	"KNOWN"	"p36.33"	"TTLL10"
"ENSG00000186891"	1	1138889	1142089	"KNOWN"	"p36.33"	"TNFRSF18"
"ENSG00000186827"	1	1146720	1149548	"KNOWN"	"p36.33"	"TNFRSF4"
"ENSG00000078808"	1	1152289	1167447	"KNOWN"	"p36.33"	"SDF4"
"ENSG00000176022"	1	1167629	1170421	"KNOWN"	"p36.33"	"B3GALT6"
"ENSG00000184163"	1	1177833	1182102	"KNOWN"	"p36.33"	"FAM132A"
"ENSG00000160087"	1	1189289	1209234	"KNOWN"	"p36.33"	"UBE2J2"
"ENSG00000162572"	1	1215968	1227409	"KNOWN"	"p36.33"	"SCNN1D"
"ENSG00000131584"	1	1227764	1243269	"KNOWN"	"p36.33"	"ACAP3"
"ENSG00000169972"	1	1243977	1247056	"KNOWN"	"p36.33"	"PUSL1"
"ENSG00000127054"	1	1246965	1260071	"KNOWN"	"p36.33"	"CPSF3L"
"ENSG00000224051"	1	1260143	1264276	"KNOWN"	"p36.33"	"GLTPD1"
"ENSG00000169962"	1	1266726	1270687	"KNOWN"	"p36.33"	"TAS1R3"
"ENSG00000107404"	1	1270659	1284492	"KNOWN"	"p36.33"	"DVL1"
"ENSG00000162576"	1	1288072	1296643	"KNOWN"	"p36.33"	"MXRA8"
"ENSG00000175756"	1	1309110	1310818	"KNOWN"	"p36.33"	"AURKAIP1"
"ENSG00000221978"	1	1321092	1334718	"KNOWN"	"p36.33"	"CCNL2"
"ENSG00000131586"	1	1337277	1342693	"KNOWN"	"p36.33"	"MRPL20"
"ENSG00000179403"	1	1370909	1376145	"KNOWN"	"p36.33"	"VWA1"
"ENSG00000215915"	1	1385069	1405538	"KNOWN"	"p36.33"	"ATAD3C"
"ENSG00000160072"	1	1407143	1431581	"KNOWN"	"p36.33"	"ATAD3B"
"ENSG00000197785"	1	1447533	1470065	"KNOWN"	"p36.33"	"ATAD3A"
"ENSG00000205090"	1	1470159	1475833	"KNOWN"	"p36.33"	"C1orf70"
"ENSG00000160075"	1	1477054	1510262	"KNOWN"	"p36.33"	"SSU72"
"ENSG00000197530"	1	1550801	1565990	"KNOWN"	"p36.33"	"MIB2"
"ENSG00000189409"	1	1567560	1570029	"KNOWN"	"p36.33"	"MMP23B"
"ENSG00000008128"	1	1571100	1655791	"KNOWN"	"p36.33"	"CDC2L2"
"ENSG00000215790"	1	1656277	1677431	"KNOWN"	"p36.33"	"SLC35E2"
"ENSG00000008130"	1	1682671	1711508	"KNOWN"	"p36.33"	"NADK"
"ENSG00000078369"	1	1716730	1822495	"KNOWN"	"p36.33"	"GNB1"
"ENSG00000169885"	1	1846266	1848733	"KNOWN"	"p36.33"	"CALML6"
"ENSG00000178821"	1	1849029	1850740	"KNOWN"	"p36.33"	"TMEM52"
"ENSG00000205073"	1	1853396	1859368	"KNOWN"	"p36.33"	"C1orf222"
"ENSG00000142609"	1	1884752	1935276	"KNOWN"	"p36.33"	"KIAA1751"
"ENSG00000187730"	1	1950768	1962192	"KNOWN"	"p36.33"	"GABRD"
"ENSG00000067606"	1	1981909	2116832	"KNOWN"	"p36.33"	"PRKCZ"
"ENSG00000162585"	1	2115917	2132537	"KNOWN"	"p36.33"	"C1orf86"
"ENSG00000157933"	1	2160134	2241652	"KNOWN"	"p36.33"	"SKI"
"ENSG00000116151"	1	2252696	2356219	"KNOWN"	"p36.32"	"MORN1"
"ENSG00000157916"	1	2323214	2336874	"KNOWN"	"p36.32"	"RER1"
"ENSG00000157911"	1	2336243	2344010	"KNOWN"	"p36.32"	"PEX10"
"ENSG00000149527"	1	2398898	2436969	"KNOWN"	"p36.32"	"PLCH2"
"ENSG00000157881"	1	2439975	2458050	"KNOWN"	"p36.32"	"PANK4"
"ENSG00000197921"	1	2460186	2461684	"KNOWN"	"p36.32"	"HES5"
"ENSG00000157873"	1	2487078	2495265	"KNOWN"	"p36.32"	"TNFRSF14"
"ENSG00000157870"	1	2518235	2522906	"KNOWN"	"p36.32"	"C1orf93"
"ENSG00000142606"	1	2522081	2564429	"KNOWN"	"p36.32"	"MMEL1"
"ENSG00000215912"	1	2572807	2706280	"KNOWN"	"p36.32"	"TTC34"
