"mirna"	"accession"	"version"	"chrom"	"start"	"end"	"strand"
"hsa-mir-1302-2"	"MI0006363"	0	1	30366	30503	1
"hsa-mir-1977"	"MI0009987"	0	1	566187	566265	-1
"hsa-mir-200b"	"MI0000342"	0	1	1102484	1102578	1
"hsa-mir-200a"	"MI0000737"	0	1	1103243	1103332	1
"hsa-mir-429"	"MI0001641"	0	1	1104385	1104467	1
"hsa-mir-551a"	"MI0003556"	0	1	3477259	3477354	-1
"hsa-mir-34a"	"MI0000268"	0	1	9211727	9211836	-1
"hsa-mir-1290"	"MI0006352"	0	1	19223565	19223642	-1
"hsa-mir-1256"	"MI0006390"	0	1	21314807	21314925	-1
"hsa-mir-1976"	"MI0009986"	0	1	26881033	26881084	1
"hsa-mir-552"	"MI0003557"	0	1	35135200	35135295	-1
"hsa-mir-30e"	"MI0000749"	0	1	41220027	41220118	1
"hsa-mir-30c-1"	"MI0000736"	0	1	41222956	41223044	1
"hsa-mir-101-1"	"MI0000103"	0	1	65524117	65524191	-1
"hsa-mir-1262"	"MI0006397"	0	1	68649201	68649293	-1
"hsa-mir-186"	"MI0000483"	0	1	71533314	71533399	-1
"hsa-mir-760"	"MI0005567"	0	1	94312388	94312467	1
"hsa-mir-137"	"MI0000454"	0	1	98511626	98511727	-1
"hsa-mir-553"	"MI0003558"	0	1	100746797	100746864	1
"hsa-mir-197"	"MI0000239"	0	1	110141513	110141593	1
"hsa-mir-320b-1"	"MI0003776"	0	1	117214371	117214449	1
"hsa-mir-942"	"MI0005767"	0	1	117637265	117637350	1
"hsa-mir-554"	"MI0003559"	0	1	151518272	151518367	1
"hsa-mir-190b"	"MI0005545"	0	1	154166141	154166219	-1
"hsa-mir-92b"	"MI0003560"	0	1	155164968	155165063	1
"hsa-mir-555"	"MI0003561"	0	1	155316141	155316236	-1
"hsa-mir-9-1"	"MI0000466"	0	1	156390133	156390221	-1
"hsa-mir-765"	"MI0005116"	0	1	156905923	156906036	-1
"hsa-mir-556"	"MI0003562"	0	1	162312336	162312430	1
"hsa-mir-921"	"MI0005713"	0	1	166123980	166124035	-1
"hsa-mir-1255b-2"	"MI0006436"	0	1	167967898	167967964	1
"hsa-mir-557"	"MI0003563"	0	1	168344762	168344859	1
"hsa-mir-1295"	"MI0006357"	0	1	171070869	171070947	-1
"hsa-mir-214"	"MI0000290"	0	1	172107938	172108047	-1
"hsa-mir-199a-2"	"MI0000281"	0	1	172113675	172113784	-1
"hsa-mir-488"	"MI0003123"	0	1	176998499	176998581	-1
"hsa-mir-1278"	"MI0006425"	0	1	193105633	193105713	1
"hsa-mir-181b-1"	"MI0000270"	0	1	198828002	198828111	-1
"hsa-mir-181a-1"	"MI0000289"	0	1	198828173	198828282	-1
"hsa-mir-1231"	"MI0006321"	0	1	201777739	201777830	1
"hsa-mir-135b"	"MI0000810"	0	1	205417430	205417526	-1
"hsa-mir-29c"	"MI0000735"	0	1	207975197	207975284	-1
"hsa-mir-29b-2"	"MI0000107"	0	1	207975788	207975868	-1
"hsa-mir-205"	"MI0000285"	0	1	209605478	209605587	1
"hsa-mir-215"	"MI0000291"	0	1	220291195	220291304	-1
"hsa-mir-194-1"	"MI0000488"	0	1	220291499	220291583	-1
