"chrom"	"start"	"end"	"cytoband"	"arm"
1	1	2300000	"p36.33"	"1p"
1	2300000	5400000	"p36.32"	"1p"
1	5400000	7200000	"p36.31"	"1p"
1	7200000	9200000	"p36.23"	"1p"
1	9200000	12700000	"p36.22"	"1p"
1	12700000	16200000	"p36.21"	"1p"
1	16200000	20400000	"p36.13"	"1p"
1	20400000	23900000	"p36.12"	"1p"
1	23900000	28000000	"p36.11"	"1p"
1	28000000	30200000	"p35.3"	"1p"
1	30200000	32400000	"p35.2"	"1p"
1	32400000	34600000	"p35.1"	"1p"
1	34600000	40100000	"p34.3"	"1p"
1	40100000	44100000	"p34.2"	"1p"
1	44100000	46800000	"p34.1"	"1p"
1	46800000	50700000	"p33"	"1p"
1	50700000	56100000	"p32.3"	"1p"
1	56100000	59000000	"p32.2"	"1p"
1	59000000	61300000	"p32.1"	"1p"
1	61300000	68900000	"p31.3"	"1p"
1	68900000	69700000	"p31.2"	"1p"
1	69700000	84900000	"p31.1"	"1p"
1	84900000	88400000	"p22.3"	"1p"
1	88400000	92000000	"p22.2"	"1p"
1	92000000	94700000	"p22.1"	"1p"
1	94700000	99700000	"p21.3"	"1p"
1	99700000	102200000	"p21.2"	"1p"
1	102200000	107200000	"p21.1"	"1p"
1	107200000	111800000	"p13.3"	"1p"
1	111800000	116100000	"p13.2"	"1p"
1	116100000	117800000	"p13.1"	"1p"
1	117800000	120700000	"p12"	"1p"
1	120700000	121600000	"p11.2"	"1p"
1	121600000	125000000	"p11.1"	"1p"
1	125000000	128900000	"q11"	"1q"
1	128900000	143100000	"q12"	"1q"
1	143100000	147400000	"q21.1"	"1q"
1	147400000	150500000	"q21.2"	"1q"
1	150500000	155000000	"q21.3"	"1q"
1	155000000	156500000	"q22"	"1q"
1	156500000	159100000	"q23.1"	"1q"
1	159100000	160500000	"q23.2"	"1q"
1	160500000	165500000	"q23.3"	"1q"
1	165500000	167200000	"q24.1"	"1q"
1	167200000	170900000	"q24.2"	"1q"
1	170900000	172900000	"q24.3"	"1q"
1	172900000	176000000	"q25.1"	"1q"
1	176000000	180300000	"q25.2"	"1q"
1	180300000	185800000	"q25.3"	"1q"
1	185800000	190800000	"q31.1"	"1q"
1	190800000	193800000	"q31.2"	"1q"
1	193800000	198700000	"q31.3"	"1q"
1	198700000	207200000	"q32.1"	"1q"
1	207200000	211500000	"q32.2"	"1q"
1	211500000	214500000	"q32.3"	"1q"
1	214500000	224100000	"q41"	"1q"
1	224100000	224600000	"q42.11"	"1q"
1	224600000	227000000	"q42.12"	"1q"
1	227000000	230700000	"q42.13"	"1q"
1	230700000	234700000	"q42.2"	"1q"
1	234700000	236600000	"q42.3"	"1q"
1	236600000	243700000	"q43"	"1q"
1	243700000	249250621	"q44"	"1q"
2	1	4400000	"p25.3"	"2p"
2	4400000	7100000	"p25.2"	"2p"
2	7100000	12200000	"p25.1"	"2p"
2	12200000	16700000	"p24.3"	"2p"
2	16700000	19200000	"p24.2"	"2p"
2	19200000	24000000	"p24.1"	"2p"
2	24000000	27900000	"p23.3"	"2p"
2	27900000	30000000	"p23.2"	"2p"
2	30000000	32100000	"p23.1"	"2p"
2	32100000	36600000	"p22.3"	"2p"
2	36600000	38600000	"p22.2"	"2p"
2	38600000	41800000	"p22.1"	"2p"
2	41800000	47800000	"p21"	"2p"
2	47800000	52900000	"p16.3"	"2p"
2	52900000	55000000	"p16.2"	"2p"
2	55000000	61300000	"p16.1"	"2p"
2	61300000	64100000	"p15"	"2p"
2	64100000	68600000	"p14"	"2p"
2	68600000	71500000	"p13.3"	"2p"
2	71500000	73500000	"p13.2"	"2p"
2	73500000	75000000	"p13.1"	"2p"
2	75000000	83300000	"p12"	"2p"
2	83300000	90100000	"p11.2"	"2p"
2	90100000	91800000	"p11.1"	"2p"
2	91800000	96100000	"q11.1"	"2q"
2	96100000	102700000	"q11.2"	"2q"
2	102700000	106000000	"q12.1"	"2q"
2	106000000	107500000	"q12.2"	"2q"
2	107500000	110200000	"q12.3"	"2q"
2	110200000	114400000	"q13"	"2q"
2	114400000	118800000	"q14.1"	"2q"
2	118800000	122400000	"q14.2"	"2q"
2	122400000	129900000	"q14.3"	"2q"
2	129900000	132500000	"q21.1"	"2q"
2	132500000	135100000	"q21.2"	"2q"
2	135100000	136800000	"q21.3"	"2q"
2	136800000	142200000	"q22.1"	"2q"
2	142200000	144100000	"q22.2"	"2q"
2	144100000	148700000	"q22.3"	"2q"
2	148700000	149900000	"q23.1"	"2q"
2	149900000	150600000	"q23.2"	"2q"
2	150600000	154900000	"q23.3"	"2q"
2	154900000	159800000	"q24.1"	"2q"
2	159800000	163700000	"q24.2"	"2q"
2	163700000	169700000	"q24.3"	"2q"
2	169700000	178000000	"q31.1"	"2q"
2	178000000	180600000	"q31.2"	"2q"
2	180600000	183000000	"q31.3"	"2q"
2	183000000	189400000	"q32.1"	"2q"
2	189400000	191900000	"q32.2"	"2q"
2	191900000	197400000	"q32.3"	"2q"
2	197400000	203300000	"q33.1"	"2q"
2	203300000	204900000	"q33.2"	"2q"
2	204900000	209000000	"q33.3"	"2q"
2	209000000	215300000	"q34"	"2q"
2	215300000	221500000	"q35"	"2q"
2	221500000	225200000	"q36.1"	"2q"
2	225200000	226100000	"q36.2"	"2q"
2	226100000	231000000	"q36.3"	"2q"
2	231000000	235600000	"q37.1"	"2q"
2	235600000	237300000	"q37.2"	"2q"
2	237300000	243199373	"q37.3"	"2q"
3	1	2800000	"p26.3"	"3p"
3	2800000	4000000	"p26.2"	"3p"
3	4000000	8700000	"p26.1"	"3p"
3	8700000	11800000	"p25.3"	"3p"
3	11800000	13300000	"p25.2"	"3p"
3	13300000	16400000	"p25.1"	"3p"
3	16400000	23900000	"p24.3"	"3p"
3	23900000	26400000	"p24.2"	"3p"
3	26400000	30900000	"p24.1"	"3p"
3	30900000	32100000	"p23"	"3p"
3	32100000	36500000	"p22.3"	"3p"
3	36500000	39400000	"p22.2"	"3p"
3	39400000	43700000	"p22.1"	"3p"
3	43700000	44100000	"p21.33"	"3p"
3	44100000	44200000	"p21.32"	"3p"
3	44200000	50600000	"p21.31"	"3p"
3	50600000	52300000	"p21.2"	"3p"
3	52300000	54400000	"p21.1"	"3p"
3	54400000	58600000	"p14.3"	"3p"
3	58600000	63700000	"p14.2"	"3p"
3	63700000	69800000	"p14.1"	"3p"
3	69800000	73700000	"p13"	"3p"
3	73700000	78400000	"p12.3"	"3p"
3	78400000	81200000	"p12.2"	"3p"
3	81200000	84000000	"p12.1"	"3p"
3	84000000	84400000	"p11.2"	"3p"
3	84400000	85800000	"p11.1"	"3p"
3	85800000	91300000	"q11.1"	"3q"
3	91300000	98300000	"q11.2"	"3q"
3	98300000	100000000	"q12.1"	"3q"
3	100000000	100900000	"q12.2"	"3q"
3	100900000	102800000	"q12.3"	"3q"
3	102800000	106200000	"q13.11"	"3q"
3	106200000	107900000	"q13.12"	"3q"
3	107900000	111300000	"q13.13"	"3q"
3	111300000	113500000	"q13.2"	"3q"
3	113500000	117300000	"q13.31"	"3q"
3	117300000	119000000	"q13.32"	"3q"
3	119000000	121900000	"q13.33"	"3q"
3	121900000	123800000	"q21.1"	"3q"
